date,home_team,away_team,home_win_rate,away_win_rate,home_goals_avg,away_goals_avg,home_conceded_avg,away_conceded_avg,home_win_rate_vs_top,away_win_rate_vs_top,h2h_home_wins,matches_played_diff,home_rank,away_rank,rank_diff,label
2005-07-11,Shetland,Åland Islands,0.4,0.4,2.4,1.8,1.9,2.0,0.33,0.33,1.0,9,100,100,0,1
2005-07-12,Orkney,Ynys Môn,0.1,0.5,0.7,1.6,4.9,0.7,0.33,0.33,0.5,-14,100,100,0,0
2005-07-12,Saare County,Falkland Islands,0.2,0.2,0.9,0.8,2.3,4.2,0.33,0.33,0.5,9,100,100,0,0
2005-07-12,Åland Islands,Isle of Man,0.3,0.4,1.7,2.5,2.2,1.6,0.33,0.33,1.0,-8,100,100,0,0
2005-07-13,Falkland Islands,Isle of Man,0.3333333333333333,0.5,1.0,2.6,3.6666666666666665,1.5,0.33,0.33,1.0,-17,100,100,0,0
2005-07-13,Greenland,Guernsey,0.6,0.7,3.4,3.3,1.0,1.1,0.33,0.33,0.0,-17,100,100,0,0
2005-07-14,Guernsey,Ynys Môn,0.7,0.4,3.2,1.4,1.0,0.6,0.33,0.33,0.3333333333333333,21,100,100,0,1
2005-07-14,Shetland,Isle of Man,0.4,0.5,1.9,2.6,1.2,1.5,0.33,0.33,0.3333333333333333,0,100,100,0,0
2005-07-14,Western Isles,Orkney,0.0,0.1,1.6666666666666667,0.7,2.0,3.9,0.33,0.33,0.5,-8,100,100,0,1
2005-07-14,Åland Islands,Falkland Islands,0.3,0.2857142857142857,1.5,0.8571428571428571,2.1,4.428571428571429,0.33,0.33,0.5,8,100,100,0,1
2005-07-15,Orkney,Falkland Islands,0.1,0.25,1.1,0.875,4.2,4.125,0.33,0.33,0.0,4,100,100,0,1
2005-07-15,Shetland,Guernsey,0.4,0.7,1.8,2.5,1.2,1.0,0.33,0.33,1.0,-23,100,100,0,1
2005-07-15,Western Isles,Isle of Man,0.25,0.6,2.5,2.5,2.5,1.2,0.33,0.33,0.5,-21,100,100,0,1
2005-07-15,Ynys Môn,Saare County,0.3,0.2,1.0,0.7,0.8,1.8,0.33,0.33,0.5,11,100,100,0,1
2005-07-15,Åland Islands,Greenland,0.4,0.5,1.7,3.0,1.7,1.6,0.33,0.33,0.0,-14,100,100,0,1
2005-09-04,DR Congo,Cape Verde,0.3,0.4,1.0,1.1,1.1,1.0,0.33,0.33,0.0,53,100,100,0,1
2006-03-18,Alderney,Jersey,0.1,0.6,0.6,2.5,4.1,0.6,0.33,0.33,0.1666666666666666,-32,100,100,0,0
2006-05-01,Jersey,Guernsey,0.6,0.6,2.8,2.2,0.7,1.1,0.33,0.33,0.6111111111111112,1,100,100,0,1
2006-05-31,Greenland,Zanzibar,0.3,0.4,2.8,1.3,1.9,1.6,0.33,0.33,0.5,6,100,100,0,0
2006-09-03,Gambia,Cape Verde,0.3,0.3,1.3,0.8,1.2,1.5,0.33,0.33,0.3333333333333333,-7,100,100,0,1
2006-09-20,Guadeloupe,Saint Martin,0.5,0.3,1.9,1.3,1.1,3.6,0.33,0.33,0.5,21,100,100,0,1
2006-09-22,Martinique,Saint Martin,0.3,0.2,1.4,1.0,1.4,3.6,0.33,0.33,0.5,53,100,100,0,1
2006-09-24,Guadeloupe,Martinique,0.5,0.3,1.4,1.2,0.7,1.2,0.33,0.33,0.5,-32,100,100,0,1
2006-10-01,Saint Vincent and the Grenadines,Saint Lucia,0.5,0.3,1.5,1.6,1.5,2.3,0.33,0.33,0.5714285714285714,-6,100,100,0,1
2006-11-19,Kyrgyzstan,Zanzibar,0.4,0.5,0.8,1.4,1.3,1.2,0.33,0.33,0.5,7,100,100,0,0
2006-11-21,Greenland,Kyrgyzstan,0.2,0.5,1.4,1.3,2.2,0.9,0.33,0.33,0.5,-3,100,100,0,0
2006-11-21,Northern Cyprus,Tibet,0.8333333333333334,0.0,2.6666666666666665,0.0,0.3333333333333333,4.0,0.33,0.33,0.5,2,100,100,0,1
2006-11-23,Kyrgyzstan,Crimea,0.6,0.6666666666666666,1.3,1.0,0.7,2.0,0.33,0.33,0.5,36,100,100,0,0
2006-11-23,Northern Cyprus,Zanzibar,0.8571428571428571,0.3,3.7142857142857135,1.1,0.2857142857142857,1.3,0.33,0.33,0.0,-25,100,100,0,1
2006-11-24,Occitania,Ambazonia,0.3333333333333333,0.0,1.6666666666666667,0.0,3.333333333333333,3.0,0.33,0.33,1.0,0,100,100,0,1
2006-11-24,Sápmi,Monaco,1.0,0.6666666666666666,8.0,2.0,0.0,5.333333333333333,0.33,0.33,1.0,0,100,100,0,1
2006-11-25,Northern Cyprus,Crimea,0.875,0.75,3.875,1.5,0.25,2.0,0.33,0.33,1.0,4,100,100,0,1
2007-01-18,Saint Vincent and the Grenadines,Guadeloupe,0.5,0.7,2.1,2.6,1.5,0.9,0.33,0.33,0.5,11,100,100,0,0
