date,home_team,away_team,home_win_rate,away_win_rate,home_goals_avg,away_goals_avg,home_conceded_avg,away_conceded_avg,h2h_home_wins,matches_played_diff,home_rank,away_rank,rank_diff,label
2010-06-22,Mexico,Uruguay,0.4,0.2,1.2,0.9,1.0,1.1,0.0,5,17.0,16.0,-1.0,0
2010-06-22,Greece,Argentina,0.2,0.6,0.4,1.8,2.6,0.6,1.0,-62,13.0,7.0,-6.0,0
2010-06-22,South Africa,France,0.125,0.4,1.125,0.9,1.875,0.7,1.0,-45,83.0,9.0,-74.0,1
2010-06-23,Australia,Serbia,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.8888888888888888,1.7777777777777777,1.6666666666666667,0.5,0,20.0,15.0,-5.0,1
2010-06-23,Ghana,Germany,0.5,0.6,1.0,1.8,1.1666666666666667,0.9,0.5,-88,32.0,6.0,-26.0,0
2010-06-23,United States,Algeria,0.2,0.25,1.2,0.75,1.6,1.375,0.5,19,14.0,30.0,16.0,1
2010-06-23,Slovenia,England,0.2,0.4,1.0,1.1,1.8,0.5,0.5,-52,25.0,8.0,-17.0,0
2010-06-24,Cameroon,Netherlands,0.1,0.6,0.6,1.2,2.0,0.7,0.5,-19,19.0,4.0,-15.0,0
2010-06-24,Denmark,Japan,0.4,0.3,1.5,0.9,1.5,1.3,0.5,3,36.0,45.0,9.0,0
2010-06-25,Chile,Spain,0.2,0.6,1.0,1.8,1.6,0.9,0.0,-24,18.0,2.0,-16.0,0
2010-06-25,North Korea,Ivory Coast,0.1666666666666666,0.2,1.0,1.2,3.0,1.8,0.5,1,105.0,27.0,-78.0,0
2010-06-26,Uruguay,South Korea,0.3,0.3,1.0,1.2,1.0,1.5,0.0,16,16.0,47.0,31.0,1
2010-06-26,United States,Ghana,0.2,0.4285714285714285,1.0,0.8571428571428571,1.4,1.1428571428571428,1.0,21,14.0,32.0,18.0,0
2010-06-27,Argentina,Mexico,0.6,0.3,1.9,1.1,0.6,1.1,1.0,20,7.0,17.0,10.0,1
2010-06-27,Germany,England,0.7,0.5,1.9,1.2,0.7,0.5,0.25,37,6.0,8.0,2.0,1
2010-06-28,Netherlands,Slovakia,0.6,0.3333333333333333,1.2,1.3333333333333333,0.7,1.6666666666666667,0.5,36,4.0,34.0,30.0,1
2010-06-28,Brazil,Chile,0.8,0.2,1.8,1.1,0.4,1.8,0.5,67,1.0,18.0,17.0,1
2010-06-29,Spain,Portugal,0.6,0.5,1.7,1.4,0.9,0.5,0.5,30,2.0,3.0,1.0,1
2010-07-02,Netherlands,Brazil,0.6,0.8,1.2,2.0,0.7,0.4,0.3333333333333333,-56,4.0,1.0,-3.0,1
2010-07-03,Argentina,Germany,0.7,0.7,2.2,1.9,0.6,0.6,0.4,-27,7.0,6.0,-1.0,0
2010-07-03,Paraguay,Spain,0.3,0.6,0.9,1.5,0.8,0.7,0.5,-27,31.0,2.0,-29.0,0
2010-07-06,Uruguay,Netherlands,0.4,0.7,1.2,1.3,0.9,0.7,0.0,4,16.0,4.0,-12.0,0
2010-07-07,Germany,Spain,0.7,0.7,2.2,1.5,0.6,0.6,0.3333333333333333,43,6.0,2.0,-4.0,0
2010-07-10,Uruguay,Germany,0.3,0.6,1.3,1.9,1.2,0.7,0.6666666666666666,-52,16.0,6.0,-10.0,0
2010-07-11,Netherlands,Spain,0.8,0.8,1.5,1.6,0.7,0.6,0.5,-13,4.0,2.0,-2.0,0
2014-06-12,Brazil,Croatia,0.7,0.4,1.9,1.1,0.6,0.9,1.0,84,3.0,18.0,15.0,1
2014-06-13,Mexico,Cameroon,0.2,0.1,1.0,0.7,1.3,1.9,0.5,29,20.0,56.0,36.0,1
2014-06-13,Spain,Netherlands,0.8,0.7,1.3,1.4,0.6,0.8,0.0,13,1.0,15.0,14.0,0
2014-06-13,Chile,Australia,0.2,0.2,1.1,0.8,2.0,1.7,0.0,19,14.0,62.0,48.0,1
2014-06-14,Uruguay,Costa Rica,0.3,0.3,1.5,1.2,1.3,2.1,0.5,37,7.0,28.0,21.0,0
2014-06-14,Colombia,Greece,0.3,0.1666666666666666,0.9,0.3333333333333333,1.2,2.5,0.5,7,8.0,12.0,4.0,1
2014-06-14,Ivory Coast,Japan,0.3333333333333333,0.4,1.5,0.9,1.5,1.0,0.5,-8,23.0,46.0,23.0,1
2014-06-14,England,Italy,0.4,0.5,1.0,1.6,0.9,0.7,1.0,-21,10.0,9.0,-1.0,0
2014-06-15,France,Honduras,0.4,0.0,1.0,0.3333333333333333,0.7,1.0,0.5,48,17.0,33.0,16.0,1
2014-06-15,Switzerland,Ecuador,0.4,0.4285714285714285,0.9,1.0,0.7,1.1428571428571428,0.5,22,6.0,26.0,20.0,1
2014-06-16,Ghana,United States,0.4444444444444444,0.2,1.0,1.0,1.1111111111111112,1.5,0.5,-20,37.0,13.0,-24.0,0
2014-06-16,Germany,Portugal,0.6,0.4,2.0,1.3,0.9,0.6,1.0,76,2.0,4.0,2.0,1
2014-06-17,Belgium,Algeria,0.2,0.2222222222222222,1.2,0.6666666666666666,1.4,1.3333333333333333,0.5,27,11.0,22.0,11.0,1
